orgao,ano,mes,tem_lotacao,tem_cargo,tem_matricula,receita_base,despesas,outras_receitas,nao_requer_login,nao_requer_captcha,acesso,formato_consistente,estritamente_tabular,acesso_i,indice_completude,indice_facilidade,indice_transparencia
stj,2019,12,FALSE,FALSE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,0.5,0.8,0.65
stj,2020,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,2,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,3,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,4,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,5,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,6,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,7,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
stj,2020,8,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2021,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2021,2,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
mpro,2021,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2021,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2018,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2019,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
NA,2020,6,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
mpro,2020,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpro,2020,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,TRUE,0,1,0.8,0.9
mpdft,2018,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2018,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2019,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2020,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,1,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,2,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,3,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,4,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,5,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,6,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,7,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,8,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,9,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,10,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,11,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
mpdft,2021,12,TRUE,TRUE,TRUE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,AMIGAVEL_PARA_RASPAGEM,TRUE,FALSE,0.5,1,0.7,0.85
NA,2018,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2018,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2018,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2018,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2018,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2018,2,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
NA,2018,3,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0
mpap,2018,2,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,3,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,4,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,5,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,6,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,7,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,8,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,9,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,10,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,11,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2018,12,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,1,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,2,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,3,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,4,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,5,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,6,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,SUMARIZADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.75,0.6,0.675
mpap,2019,7,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,FALSE,FALSE,0,0.8333333333333334,0.4,0.6166666666666667
mpap,2019,8,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2019,9,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2019,10,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2019,11,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2019,12,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,1,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,2,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,3,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,4,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,5,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,6,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
mpap,2020,7,TRUE,TRUE,FALSE,DETALHADO,DETALHADO,DETALHADO,TRUE,TRUE,NECESSITA_SIMULACAO_USUARIO,TRUE,FALSE,0,0.8333333333333334,0.6,0.7166666666666667
